R_fighter,B_fighter,Average_Odds_f1,Average_Odds_f2,date,title_bout,win_by,weight_class,red_fighters_elo,blue_fighters_elo,red_Fighter_Odds,blue_Fighter_Odds,Winner,R_Fight_Number,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_WinLossRatio,R_RingRust,R_Winning_Streak,R_Losing_Streak,R_AVG_fight_time,R_total_title_bouts,R_Takedown_Defense,R_Takedown Accuracy,R_Strikes_Per_Minute,R_Striking Accuracy,R_Strikes_Absorbed_per_Minute,R_Striking Defense,R_knockdows_per_minute,R_Submission Attempts,R_Average_Num_Takedowns,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Power_Rating,red_skill,wrestling_red_skill,striking_red_skill,g_and_p_red_skill,jiujitsu_red_skill,grappling_red_skill,B_Fight_Number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_WinLossRatio,B_RingRust,B_Winning_Streak,B_Losing_Streak,B_AVG_fight_time,B_total_title_bouts,B_Takedown_Defense,B_Takedown Accuracy,B_Strikes_Per_Minute,B_Striking Accuracy,B_Strikes_Absorbed_per_Minute,B_Striking Defense,B_knockdows_per_minute,B_Submission Attempts,B_Average_Num_Takedowns,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Power_Rating,blue_skill,wrestling_blue_skill,striking_blue_skill,g_and_p_blue_skill,jiujitsu_blue_skill,grappling_blue_skill
Randy Couture,Gabriel Gonzaga,135.0,-120.0,2007-08-25,True,KO/TKO,Heavyweight,,,0.425531914893617,0.5454545454545454,Red,1.0,Orthodox,185.42,190.5,44.0,,,,,,,,,,,,,,,,1.0,0.0,3.0,5.0,2.0,1.0,,,,,,,,1.0,Orthodox,187.96,193.04,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,
Dennis Siver,Naoyuki Kotani,180.0,-200.0,2007-09-08,False,KO/TKO,Lightweight,,,0.35714285714285715,0.6666666666666666,Red,1.0,Orthodox,167.64,177.8,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,Southpaw,172.72,167.64,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jess Liaudin,Anthony Torres,-115.0,-105.0,2007-09-08,False,KO/TKO,Welterweight,,,0.5348837209302325,0.5121951219512195,Red,1.0,Orthodox,175.26,182.88,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,172.72,,29.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Thiago Silva,Tomasz Drwal,-300.0,275.0,2007-09-08,False,KO/TKO,Light Heavyweight,,,0.75,0.26666666666666666,Red,1.0,Orthodox,187.96,187.96,24.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,Orthodox,185.42,193.04,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Michael Bisping,Matt Hamill,-225.0,245.0,2007-09-08,False,Decision - Split,Light Heavyweight,,,0.6923076923076923,0.2898550724637681,Red,1.0,Orthodox,185.42,190.5,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0,Orthodox,185.42,193.04,30.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,
Houston Alexander,Alessio Sakara,-155.0,145.0,2007-09-08,False,KO/TKO,Light Heavyweight,,,0.6078431372549019,0.40816326530612246,Red,1.0,Orthodox,182.88,182.88,35.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,Orthodox,182.88,182.88,26.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,
Marcus Davis,Paul Taylor,-165.0,150.0,2007-09-08,False,Submission,Welterweight,1236.25,,0.6226415094339622,0.4,Red,2.0,Southpaw,177.8,177.8,34.0,1.0,59.39696961966999,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.5,1.0,0.0,,29.39583201999916,25.0,29.39583201999916,25.0,25.0,25.000000000000004,1.0,Orthodox,182.88,182.88,27.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Gleison Tibau,Terry Etim,-165.0,150.0,2007-09-08,False,Decision - Unanimous,Lightweight,,,0.6226415094339622,0.4,Red,1.0,Southpaw,177.8,180.34,23.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,185.42,185.42,21.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Dustin Hazelett,Jonathan Goulet,120.0,-130.0,2007-09-19,False,Submission,Welterweight,1236.25,,0.45454545454545453,0.5652173913043478,Red,2.0,Orthodox,185.42,193.04,21.0,1.0,67.17514421272202,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,29.39583201999916,25.0,29.39583201999916,25.0,29.39583201999916,29.39583201999916,1.0,Orthodox,182.88,185.42,28.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
Thiago Alves,Kuniyoshi Hironaka,-220.0,200.0,2007-09-19,False,KO/TKO,Welterweight,,,0.6875,0.3333333333333333,Red,1.0,Orthodox,175.26,177.8,23.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,1.0,Orthodox,177.8,177.8,31.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
Gray Maynard,Joe Veres,-280.0,240.0,2007-09-19,False,KO/TKO,Lightweight,1200.0,,0.7368421052631579,0.29411764705882354,Red,2.0,Orthodox,175.26,177.8,28.0,0.5,62.22539674441618,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,25.000000000000004,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,1.0,Orthodox,170.18,,29.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Cole Miller,Leonard Garcia,-135.0,115.0,2007-09-19,False,Decision - Unanimous,Lightweight,1236.25,1236.25,0.574468085106383,0.46511627906976744,Red,2.0,Orthodox,185.42,187.96,23.0,1.0,62.22539674441618,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.5,0.0,0.0,,29.39583201999916,25.0,29.39583201999916,29.39583201999916,25.0,25.000000000000004,2.0,Orthodox,177.8,175.26,28.0,1.0,62.22539674441618,1.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,29.39583201999916,20.604167980000835,25.0,25.0,29.39583201999916,29.39583201999916
Nate Quarry,Pete Sell,-205.0,195.0,2007-09-19,False,KO/TKO,Middleweight,,,0.6721311475409836,0.3389830508474576,Red,1.0,Open Stance,182.88,182.88,35.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0,Orthodox,180.34,190.5,25.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Nate Diaz,Junior Assuncao,-185.0,175.0,2007-09-19,False,Submission,Lightweight,,,0.6491228070175439,0.36363636363636365,Red,1.0,Southpaw,182.88,193.04,22.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0,Orthodox,175.26,182.88,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
Chris Leben,Terry Martin,200.0,-200.0,2007-09-19,False,KO/TKO,Middleweight,,,0.3333333333333333,0.6666666666666666,Red,1.0,Southpaw,180.34,187.96,27.0,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,1.0,0.0,,,,,,,,1.0,Orthodox,172.72,180.34,26.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,
Kenny Florian,Din Thomas,-150.0,140.0,2007-09-19,False,Submission,Lightweight,1236.25,,0.6,0.4166666666666667,Red,2.0,Southpaw,177.8,187.96,31.0,1.0,52.32590180780452,1.0,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.5,1.5,0.5,,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,29.39583201999916,1.0,Orthodox,175.26,,30.0,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,2.0,0.0,,,,,,,
Christian Wellisch,Scott Junk,-210.0,190.0,2007-09-22,False,Submission,Heavyweight,,,0.6774193548387096,0.3448275862068966,Red,1.0,Orthodox,187.96,195.58,32.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,Orthodox,185.42,,28.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jeremy Stephens,Diego Saraiva,-180.0,175.0,2007-09-22,False,Decision - Unanimous,Lightweight,,1163.75,0.6428571428571429,0.36363636363636365,Red,1.0,Orthodox,175.26,180.34,21.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,Orthodox,167.64,,25.0,0.0,54.44722215136416,0.0,1.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,20.604167980000835,20.604167980000835,20.604167980000835,20.604167980000835,25.0,20.604167980000835
