Name,Affiliation,Born,Fighting out of
Taila Santos,Astra Fight Team,"Jaragua do Sul, Santa Catarina, Brazil","Balneario Camboriu, Santa Catarina, Brazil"
Daniel Sarafian,Demian Maia JJ,"Sao Paulo, Sao Paulo, Brazil","Sao Paulo, Sao Paulo, Brazil"
Diego Saraiva,N/A,United States,"Atlanta, Georgia, United States"
Yuta Sasaki,Longo And Weidman MMA,"Numazu, Shizuoka, Japan","New York City, New York"
Paul Sass,Next Generation UK,"Liverpool, England","Liverpool, England"
Takenori Sato,TRIBE TOKYO MMA,"Akita, Japan","Shinagawa, Tokyo, Japan"
Takashi Sato,N/A,"Tokyo, Japan","Fort Lauderdale, Florida"
Ben Saunders,American Top Team,"Fort Lauderdale, Florida, United States","Orlando, Florida"
Chris Saunders,All in MMA,United States,"Long Beach, California"
Matt Sayles,Alliance MMA,United States,"San Diego, California"
Mark Scanlon,,,
Eric Schafer,Red Schafer MMA,"Fond du Lac, Wisconsin, United States","Milwaukee, Wisconsin"
Brendan Schaub,N/A,"Aurora, Colorado, United States","Denver, Colorado"
Samy Schiavo,Bushido Academie,France,"Avignon, France"
Pat Schilling,Ambition Training Academy,"St. Paul, Minnesota, United States","Eagan, Minnesota"
Matt Schnell,American Top Team,United States,"Shreveport, Louisiana"
Darrill Schoonover,,,
Justin Scoggins,N/A,United States,"Spartanburg, South Carolina"
Brad Scott,,,
Neil Seery,Team Ryano MMA,"Dublin, Ireland","Dublin, Ireland"
Stefan Sekulic,Family Fight Team,Serbia,"Novi Sad, Serbia"
Pete Sell,Serra Jiu-Jitsu,United States,"Bayshore, New York"
Matthew Semelsberger,Clinch Academy,United States,"Frederick, Maryland"
Mackens Semerzier,Pride Training Center,United States,"Norfolk, Virginia, United States"
Ivan Serati,,,
Matt Serra,Serra Jiu-Jitsu,"East Meadow, New York, United States","East Meadow, New York"
Fredy Serrano,Octagon MMA,"Bogota, Distrito Capital, Colombia",Colombia
Rosi Sexton,Next Generation MMA Liverpool,"Manchester, England","Manchester, England"
Edmen Shahbazyan,Glendale Fighting Club,United States,"Glendale, California"
Kamal Shalorus,,,
Eric Shelton,Core Fitness Systems,"Lawton, Oklahoma, United States","East Moline, Illinois"
Sean Sherk,Minnesota Martial Arts Academy,"St. Francis, Minnesota, United States","Oak Grove, Minnesota"
Chase Sherman,"American Top Team D’Iberville, MS","D'Iberville, Mississippi, United States","D'Iberville, Mississippi, United States"
Valentina Shevchenko,Tiger Muay Thai,"Frunze, Bishkek, Kyrgyzstan","Lima, Peru"
Antonina Shevchenko,Tiger Muay Thai,"Frunze, Bishkek, Kyrgyzstan","Lima, Peru"
Jake Shields,Cesar Gracie Jiu Jitsu,"Mountain Ranch, California, United States","San Francisco, California"
Shunichi Shimizu,Uruno Dojo,"Tokyo, Japan","Kuchinoerabu, Japan"
Josh Shockley,Duneland Vale Tudo,United States,"Hobart, Indiana"
Jack Shore,Tillery Combat MMA Academy,Wales,Wales
Sam Sicilia,Sikjitsu,"Spokane, Washington, United States","Spokane, Washington"
Steven Siler,The Pit Elevated Fight Team,"Anaheim, California, United States","Provo, Utah"
Assuerio Silva,N/A,Brazil,"Curitiba, Parana, Brazil"
Anderson Silva,N/A,"Sao Paulo, Sao Paulo, Brazil","Curitiba, Parana, Brazil"
Wanderlei Silva,Wand Fight Team,"Curitiba, Parana, Brazil","Las Vegas, Nevada"
Thiago Silva,Blackzilians,"Sao Carlos, Sao Paulo, Brazil","Boca Raton, Florida"
Jay Silva,,,
Antonio Silva,American Top Team,"Campina Grande, Paraiba, Brazil","Brasilia, Federal District, Brazil"
Erick Silva,Kings MMA,"Vila Velha, Espirito Santo Brazil","Vila Velha, Espirito Santo, Brazil"
Leandro Silva,American Top Team,Brazil,"Sao Paulo, Sao Paulo, Brazil"
Claudio Silva,American Top Team,"Rondonopolis, Mato Grosso, Brazil","Minas Gerais, Brazil"
Wagner Silva,Tata Fight Team,"Vicosa, Minas Gerais, Brazil","Vicosa, Minas Gerais, Brazil"
Joaquim Silva,Evolução Thai MMA,"Anapolis, Goias, Brazil","Curitiba, Parana, Brazil"
Felipe Silva,,,
Bruno Silva,Evolução Thai MMA,"Cajazeiras, Paraiba, Brazil","Curitiba, Parana, Brazil"
Gabriel Silva,,,
Douglas Silva de Andrade,NFT Castanhal,Brazil,"Castanhal, Para, Brazil"
Elias Silverio,Team Silvério,"Pirapora do Bom Jesus, Sao Paulo, Brazil","Pirapora do Bom Jesus, Sao Paulo, Brazil"
Ricky Simon,Gracie Barra Portland,United States,"Vancouver, Washington"
Aaron Simpson,Power MMA,"Gunnison, Colorado, United States","Phoenix, Arizona"
Tony Sims,N/A,"Davenport, Iowa","Denver, Colorado"
Rory Singer,Hardcore Gym,United States,"Athens, Georgia, USA"
Elvis Sinosic,N/A,Australia,"Sydney, Australia"
Dennis Siver,Team KiBoJu,"Omsk, Russia","Mannheim, Germany"
Chas Skelly,Team Takedown,United States,"Arlington, Texas"
Scott Smith,Capital City Fighting Alliance,"Reno, Nevada, United States","Elk Grove, California"
Trevor Smith,N/A,"Vancouver, Washington","Tukwila, Washington"
Anthony Smith,Disorderly Conduct,"Corpus Christi, Texas, United States","Omaha, Nebraska"
Colton Smith,Matt Larsen's Combat Fitness Center,United States,"Fort Hood, Texas"
Gilbert Smith,Team Victory,United States,"Colorado Springs, Colorado"
Leslie Smith,Cesar Gracie Jiu Jitsu,"South Pasadena, California","Pleasant Hill, California"
Devonte Smith,factoryX Muay Thai,"Bedford, Ohio, United States","Englewood, Colorado"
Cole Smith,The Sound Martial Arts,"Vancouver, British Columbia","Chiang Mai, Thailand"
Dmitrii Smoliakov,,,
Louis Smolka,Team Oyama,"Kapolei, Hawaii","Kapolei, Hawaii"
Richie Smullen,Straight Blast Gym Ireland,Ireland,"Arklow, Ireland"
Peter Sobotta,Planet Eater,"Zabrze, Poland","Geislingen, Germany"
Renato Sobral,Gracie Barra,"Rio de Janeiro, Brazil","Costa Mesa, California"
Rameau Thierry Sokoudjou,Team Quest Encinitas,"Hom'la, Cameroon","Encinitas, California"
Joe Solecki,Gym-O,United States,"Wilmington, NC"
Kenan Song,N/A,"Tangshan, Hebei, China","Hebei, China"
Chael Sonnen,Team Quest Portland,"Milwaukie, Oregon, United States","West Linn, Oregon"
Jin Soo Son,Korean Zombie MMA,South Korea,South Korea
Sean Soriano,N/A,"Providence, Rhode Island, United States","Fort Lauderdale, Florida"
Punahele Soriano,Xtreme Couture,United States,"Oahu, Hawaii"
Dmitry Sosnovskiy,N/A,"Yalta, Ukraine","Moscow, Russia"
Ben Sosoli,Resilience Training Centre,Australia,"Melbourne, Australia"
Krzysztof Soszynski,Reign MMA,"Stalowa Wola, Poland","Temecula, California"
George Sotiropoulos,American Top Team,"Geelong, Victoria, Australia","Vancouver, Washington"
Greg Soto,AMA Fight Club,"New York, New York, United States","Oakhurst, New Jersey"
Alex Soto,Team Hurricane Awesome,"Tijuana, Mexico","San Diego, California"
Joe Soto,Nor-Cal Fighting Alliance,"Porterville, California","Santa Rosa, California"
Andre Soukhamthath,Blackzilians,"Providence, Rhode Island, United States","Lakeworth, Florida"
Jacare Souza,Fusion Xcel Performance,"Vila Velha, Espirito Santo, Brazil","Manaus, Amazonas, Brazil"
Edimilson Souza,Ataque Duplo / Thiago Tavares Team,"Salvador, Bahia, Brazil","Florianopolis, Santa Catarina, Brazil"
Livinha Souza,Team Maximo,"Araraquara, Sao Paulo, Brazil","Araraquara, Sao Paulo, Brazil"
Chris Spang,One Kick's Gym,"Växjö, Sweden","Las Vegas, Nevada"
Ryan Spann,Fortis MMA,United States,"Beaumont, Texas"
Tommy Speer,N/A,United States,"Elgin, Minnesota"
Sean Spencer,Fortis MMA,"Bluefield, Virginia, United States","Dallas, Texas"
Felicia Spencer,The Jungle MMA & Fitness,"Montreal, Quebec","Orlando, Florida"
Eric Spicely,Tristar Gym,"Stoughton, Massachusetts","Olneyville, Rhode Island"
Daniel Spitz,Sikjitsu,"Spokane, Washington","Spokane, Washington"
Serghei Spivac,Polar Bear Team,Ukraine,Moldova
Daniel Spohn,Ronin Training Center,United States,Columbus OH
Pete Spratt,Metro Fight Club,"Denison, Texas, United States","San Antonio, Texas"
Austin Springer,Gracie Barra Portland,"Washington State, United States","Vancouver, Washington"
Georges St-Pierre,Tristar Gym,"St. Isidore, Quebec, Canada","Montreal, Quebec, Canada"
Andreas Stahl,Renyi,Sweden,"Umea, Vasterbotten, Sweden"
Ron Stallings,,,
Cody Stamann,Michigan Top Team,"Sparta, Michigan","Sparta, Michigan"
Cristina Stanciu,Absoluto Fighting Center,"Bucharest, Romania","Bucharest, Romania"
Brian Stann,Jackson Wink MMA,"Yokota Airbase, Japan","Scranton, Pennsylvania"
Josh Stansbury,Syndicate MMA,"East Liverpool, Ohio, United States","Las Vegas, Nevada"
Clifford Starks,Arizona Combat Sports,"Sacramento, California, United States","Tempe, Arizona"
Kalib Starnes,N/A,"Surrey, British Colombia, Canada","Surrey, British Colombia"
Laureano Staropoli,Invictus MMA,"La Plata, Buenos Aires, Argentina","La Plata, Buenos Aires, Argentina"
Damian Stasiak,United Gym,"Łódź, Poland","Łódź, Poland"
Dominique Steele,,,
Steve Steinbeiss,Arizona Combat Sports,"Mesa, Arizona","Phoenix, Arizona"
Jeremy Stephens,,,
Aljamain Sterling,Serra Jiu-Jitsu,United States,"Cortland, New York"
Joe Stevenson,Joe Stevenson's Cobra Kai,"Torrance, California, United States","Victorville, California"
Maia Stevenson,Joe Stevenson's Cobra Kai,United States,"Victorville, California"
Darren Stewart,MMA Clinic,England,"East London, England"
Kyle Stewart,Arizona Combat Sports,United States,"Tempe, Arizona"
Dan Stittgen,Midwest Training Center,"Woodstock, Illinois, United States","Schaumburg, Illinois"
Denis Stojnic,Golden Glory ,Bosnia Herzegovina,"Sarajevo, Bosnia and Herzegovina"
Julija Stoliarenko,Fighter House,Lithuania,"Kaunas, Lithuania"
Niklas Stolze,La Onda Fight Club,"Schönebeck, Germany","Magdeburg, Germany"
Ken Stone,American Top Team,"Framingham, Massachusetts, United States","Coconut Creek, Florida"
Rick Story,MMA Lab,"Tacoma, Washington, United States","Vancouver, Washington"
Darko Stosic,N/A,Serbia,"Belgrade, Serbia"
Sam Stout,Adrenaline MMA Training & Fitness,"London, Ontario, Canada","London, Ontario"
Sean Strickland,Team Quest,United States,"Riverside, California"
Hans Stringer,Blackzilians,Netherlands,"Boca Raton, Florida"
Stefan Struve,Team Schreiber,"Beverwijk, Netherlands","Beverwijk, Netherlands"
Mike Stumpf,,,
Tatiana Suarez,Millennia MMA,"Covina, California","Rancho Cucamonga, California"
George Sullivan,Pellegrino Mixed Martial Arts,United States,"Belmar, New Jersey"
Martin Svensson,Frontier MMA Academy,"Horby, Sweden","Malmo, Sweden"
Cub Swanson,Jackson Wink MMA,"Palm Springs, California, United States","Albuquerque, New Mexico"
Mike Swick,AKA Thailand,"Houston, Texas, United States","San Jose, California"
Floyd Sword,,,
Bentley Syler,,,
Tim Sylvia,,,
Justin Tafa,N/A,Australia,Australia
Khalid Taha,,,
Mairbek Taisumov,Tiger Muay Thai,"Grozny, Chechen Republic, Russia","Vienna, Austria"
Nordine Taleb,,,
Issei Tamura,KRAZY BEE,"Shinigawa, Tokyo, Japan","Tokyo, Japan"
Jason Tan,,,
Michinori Tanaka,Team Alpha Male Japan,"Yokohama, Kanagawa, Japan","Yokohama, Kanagawa, Japan"
Evan Tanner,,,
Miesha Tate,N/A,"Tacoma, Washington, United States","Olympia, Washington"
Thiago Tavares,Ataque Duplo,"Florianopolis, Santa Catarina, Brazil","Florianopolis, Santa Catarina, Brazil"
Brad Tavares,Xtreme Couture,"Kailua, Hawaii, United States","Las Vegas, Nevada"
Paul Taylor,Team Kaobon Liverpool,"Walsall, England","Walsall, England"
Jesse Taylor,,,
Danielle Taylor,Saekson's Muay Thai,"Lancaster, California","Palmdale, California"
James Te Huna,Elite Fight Gym,"Darfield, New Zealand","New South Wales, Australia"
Glover Teixeira,Teixeira MMA & Fitness,"Sobrália, Minas Gerais, Brazil","Bethel, Connecticut"
John Teixeira,Nova União,"Macapa, Amapa, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
David Teymur,Allstars Training Center,"Järfälla, Sweden","Stockholm, Norsburg, Sweden"
Daniel Teymur,Allstars Training Center,Sweden,"Stockholm, Sweden"
Motonobu Tezuka,Cobra Kai MMA Dojo,"Azumino, Nagano, Japan","Osaka, Japan"
Brandon Thatch,Elevation Fight Team,"Denver, Colorado, United States","Denver, Colorado"
Elias Theodorou,Grant's MMA,"Mississauga, Ontario, Canada","Mississauga, Ontario"
Paulo Thiago,XGym,"Brasilia, Federal District, Brazil","Brasilia, Federal District, Brazil"
Din Thomas,American Top Team,United States,"Orlando, Florida"
Ryan Thomas,American Top Team,"Indianola, Illinois, United States","Coconut Creek, Florida"
Oli Thompson,ZT Fight School,"Hastings, East Sussex, England","Hastings, East Sussex, England"
Stephen Thompson,Upstate Karate,"Simpsonville, South Carolina, United States","Simpsonville, South Carolina"
Josh Thomson,American Kickboxing Academy,"San Jose, California, United States","San Jose, California"
Simeon Thoresen,Team Frontline,"Sandefjord, Norway","Oslo, Norway"
Gleison Tibau,,,
Chris Tickle,Fiore MMA,United States,"Bloomington, Illinois"
Nolan Ticman,Kings MMA,United States,"Palm Springs, California"
Darren Till,Team Kaobon Liverpool,"Liverpool, Merseyside, England","Liverpool, Merseyside, United Kingdom "
Dusko Todorovic,Secutor MMA,Serbia,"Belgrade, Serbia"
Kazuki Tokudome,Paraestra Hachioji,"Hachioji, Tokyo, Japan","Hachioji, Tokyo, Japan"
Tyler Toner,,,
James Toney,N/A,"Grand Rapids, Michigan, United States","Sherman Oaks, California"
Anthony Torres,MMAD,United States,USA
Miguel Torres,Torres Martial Arts Academy,"East Chicago, Indiana, United States","East Chicago, Indiana"
Ronys Torres,,,
Tecia Torres,American Top Team,United States,"Coconut Creek, Florida"
Alex Torres,Octagon MMA,"Bogota, Colombia","Bogota, Colombia"
Jose Torres,American Top Team,United States,"Chicago, Illinois"
Salim Touahri,Grappling Kraków,Poland,"Kraków, Poland"
Dequan Townsend,Murcielago MMA,"Lansing, Michigan, United States","Lansing, Michigan"
Francisco Trevino,,,
Frank Trigg,Xtreme Couture,"Kendall, New York, United States","Las Vegas, Nevada"
Francisco Trinaldo,Constrictor Team,"Amarante, Piauí, Brazil","Brasilia, Federal District, Brazil"
Michael Trizano,Tiger Schulmann's Mixed Martial Arts,United States,"Ramsey, New Jersey"
Tor Troeng,Renyi Fight Camp,"Umea, Sweden","Umea, Sweden"
Abel Trujillo,Blackzilians,"Greensboro, North Carolina, United States","Del Ray Beach, Florida"
Arman Tsarukyan,Khabarovsk MMA,Armenia,"Krasnodar, Russia"
Chris Tuchscherer,N/A,"Rugby, North Dakota, United States","Oak Grove, Minnesota"
Jon Tuck,Kings MMA,"Spokane, WA, USA","Hagatna, Guam"
Gavin Tucker,Titans MMA,"Ship Cove, Newfoundland and Labrador, Canada","Halifax, Nova Scotia"
Jumabieke Tuerxun,N/A,China,"Shaanxi, China"
Tai Tuivasa,Lions High Performance Centre,Australia,"Sydney, New South Wales, Australia"
Zubaira Tukhugov,Krepost Fight Club,"Grozny, Russia","Moscow, Russia"
Albert Tumenov,American Top Team,Russia,"Fairfield, New Jersey"
Wellington Turman,Gile Ribeiro Team,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil"
Jalin Turner,Carlson Gracie Riverside,United States,"San Bernardino, California"
Marcin Tybura,S4 Fight Club,"Uniejów, Poland","Łódź, Poland"
Alberto Uda,Nova União,Brazil,"Blumenau, Santa Catarina, Brazil"
Gasan Umalatov,,,
Caol Uno,UNO DOJO,"Yokosuka, Kanagawa, Japan","Yokosuka, Kanagawa, Japan"
Hector Urbina,Wolfpack MMA,United States,"Muncie, Indiana"
Yasuhiro Urushitani,TRIBE TOKYO MMA,"Shikokuchuo, Ehime, Japan","Setagaya, Tokyo, Japan"
Kamaru Usman,Sanford MMA,"Auchi, Nigeria","Boca Raton, Florida "
Darren Uyenoyama,Faito Tamashii Combat Club,United States,"San Francisco, California"
Richie Vaculik,TP Fight Team,Australia,"Maroubra, Australia"
Charlie Valencia,Millennia MMA,"East Los Angeles, California, United States","Ontario, California"
Timur Valiev,Jackson Wink MMA,Russia,"Moscow, Russia"
Victor Valimaki,,,
Isaac Vallie-Flagg,Jackson Wink MMA,"Ann Arbor, Michigan","Albuquerque, New Mexico"
Matt Van Buren,Blackzilians,United States,"Coconut Creek, Florida, United States"
Brianna Van Buren,AntDawg's MMA,United States,"Gilroy, California"
Lando Vannata,Jackson's MMA Acoma,"Neptune, New Jersey","Albuquerque, New Mexico"
Paige VanZant,Team Alpha Male,United States,"Reno, Nevada"
Kazula Vargas,Mexican Pride Gym,Mexico,"Mexico City, Mexico"
Jamie Varner,,,
Guilherme Vasconcelos,BH Rhinos,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Javier Vazquez,,,
Matt Veach,Finney's HIT Squad,"Springfield, Illinois, United States","Granite City, Illinois"
Joe Vedepo,,,
Cain Velasquez,American Kickboxing Academy,"Salinas, California, United States","San Jose, California"
Bojan Velickovic,Elevation Fight Team,Serbia,"Novi Sad, Serbia"
Karlos Vemola,,,
Luigi Vendramini,Constrictor Team,Brazil,"Brasilia, Federal District, Brazil"
Brandon Vera,Alliance MMA,"Norfolk, Virginia, United States","San Diego, California"
Marlon Vera,N/A,"Chone, Manabi, Ecuador","Alburquerque, New Mexico"
Joe Veres,MMA Lab,United States,"Glendale, California, USA"
Marvin Vettori,Kings MMA,"Mezzocorona, Italy","Mezzocorona, Italy"
Hugo Viana,Champion Team,"Salvador, Bahia, Brazil","Salvador, Bahia, Brazil"
Polyana Viana,,,
James Vick,Team Lloyd Irvin,United States,"Mineral Wells, Texas"
Milton Vieira,Brazilian Top Team,"Rio De Janeiro, Brazil","Amazonas, Brazil"
Reginaldo Vieira,Peso Pesado Gold Team,Brazil,"Santa Isabel, Sao Paulo, Brazil"
Ketlen Vieira,Nova União Manaus,"Manaus, Amazonas, Brazil","Manaus, Amazonas, Brazil"
Rodolfo Vieira,Grappling Fight Team,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil"
Gian Villante,Bellmore Kickboxing MMA,"Wantagh, New York, United States","Bellmore, New York"
Ike Villanueva,4oz. Fight Club,United States,"Houston, Texas"
Danillo Villefort,,,
Yuri Villefort,Blackzilians,"Brasilia, Federal District, Brazil","Boca Raton, Florida"
Marcos Vinicius,Striker's House,"Sao Jose dos Pinhais, Parana, Brazil","Curitiba, Parana, Brazil"
Bobby Voelker,Finney's HIT Squad,United States,"Kansas City, Kansas"
Alexander Volkanovski,N/A,Australia,"Shellharbour, New South Wales"
Jacob Volkmann,Minnesota Martial Arts Academy,"Fergus Falls, Minnesota, United States","White Bear Lake, Minnesota"
Alexander Volkov,Strela Team,Russia,"Moscow, Russia"
Chris Wade,Long Island MMA,"Oakwood, Illinois, United States","Islip, New York"
Neil Wain,,,
TJ Waldburger,Grappler's Lair,"Temple, Texas, United States","Belton, Texas"
Donny Walker,GriffonRawl MMA Academy,"Ashtabula, Ohio, United States","Mentor, Ohio"
Johnny Walker,Straight Blast Gym Ireland,"Belford Roxo, Rio de Janeiro, Brazil","Southampton, England"
Ben Wall,Ignite Martial Arts Academy / Dunstandeathsquad,"Brisbane, Queensland, Australia","Brisbane, Queensland, Australia"
Rodney Wallace,Chute Boxe Piraju,"Bamberg, South Carolina, United States","Salisbury, North Carolina"
Jim Wallhead,Team Rough House,"Leicestershire, England","Leicestershire, England"
Richard Walsh,VT1 Gym,Australia,"Sydney, New South Wales, Australia"
Patrick Walsh,Victory Combat Academy,United States,"Stoughton, Massachusetts"
Andy Wang,Grappling Unlimited,Taiwain,Beijing
Sai Wang,,,
Anying Wang,Xi'an Sports University,China,China
Curt Warburton,,,
Charlie Ward,,,
Terrion Ware,A4 Fitness,"Los Angeles, California","Los Angeles, California"
Dominic Waters,Jackson Wink MMA,United States,"Santa Rosa, California"
Michelle Waterson,Jackson Wink MMA,United States,"Albuquerque, New Mexico"
Kyle Watson,Finney's HIT Squad,"Litchfield, Illinois, United States","Granite City, Illinois"
Walel Watson,Team Bodyshop MMA,"El Paso, Texas, United States","Long beach, California "
Tom Watson,Tristar Gym,"Southampton, England","Southampton, England"
Brok Weaver,Port City Kickboxing Academy,"Jackson, Alabama, United States","McIntosh, Alabama"
Jonavin Webb,Renzo Gracie Philly,United States,"Washington Township, New Jersey"
Royston Wee,Impact MMA,Singapore,Singapore
Chris Weidman,Serra Jiu-Jitsu,"Mineola, New York, United States","Baldwin, New York"
Christian Wellisch,,,
Fabricio Werdum,,,
Mike Wessel,Westside Fight Team,United States,"Jonesboro, Arkansas"
Sheldon Westcott,Complete Fitness and Martial Arts ,"St. Albert, Alberta, Canada","Edmonton, Alberta"
Alex White,Team Destruction,"Columbia, Missouri, United States","Farmington, Missouri"
Craig White,LD Fighters,England,"Exmouth, England"
Robert Whiteford,American Top Team,"Armadale, Scotland","Glasgow, Scotland"
Garett Whiteley,Indy Boxing & Grappling,"Indianapolis, Indiana","Indianapolis, Indiana"
Emily Whitmire,Syndicate MMA,United States,"Hillsboro, Oregon"
Robert Whittaker,PMA Super Martial Arts Centre,New Zealand,"Menai, New South Wales, Australia"
Adam Wieczorek,Spartan Chorzów,"Chorzów, Poland","Chorzów, Poland"
Aaron Wilkinson,SBG Manchester,United Kingdom,"Manchester, England"
Mike Wilkinson,Atherton Submission Wrestling,England,"Leigh, Lancashire, England"
Rob Wilkinson,Hybrid Training Centre,"Hobart, Australia","Sydney, Australia"
James Wilks,,,
Patrick Williams,N/A,"Homestead, Florida","Homestead, Florida"
Tim Williams,302 BJJ,United States,"Millville, New Jersey, United States"
Jordan Williams,Nor-Cal Fighting Alliance,"Menomonee Falls, Wisconsin","Santa Rosa, California"
Cole Williams,Chosen Few Gym,"Dubuque, Iowa","Dubuque, Iowa"
Khaos Williams,Murcielago MMA,"Jackson, Michigan, United States","Detroit, Michigan, United States"
Justin Willis,American Kickboxing Academy,"East Palo Alto, California","San Jose, California"
Chris Wilson,Team Quest Portland,United States,"Portland, Oregon"
Jonathan Wilson,,,
Matt Wiman,Tulsa Top Team,"Denver Colorado, United States","Portland, Oregon"
Eddie Wineland,Duneland Vale Tudo,"Houston, Texas, United States","Chesterton, Indiana"
Deron Winn,American Kickboxing Academy,"Liberty, Missouri","Gilroy, California"
Andre Winner,,,
Eric Wisely,Roufusport MMA Academy,"Clinton, Iowa","Clinton, Iowa"
Keith Wisniewski,Duneland Vale Tudo,"Muenster, Indiana, United States","Hobart, Indiana"
Jason Witt,Glory MMA and Fitness,"Kansas City, Missouri, United States","Kansas City, Missouri"
Brandon Wolff,,,
Nathaniel Wood,,,
Tyron Woodley,,,
Sean Woodson,Wolves' Den Training Center,"Saint Louis, Missouri, United States","Saint Louis, Missouri"
Khama Worthy,Pittsburgh Academy,United States,"Pittsburgh, Pennsylvania"
Justin Wren,Travis Lutter BJJ,United States,"Ames, Iowa, United States"
Jordan Wright,Dynamix MMA,"Beverly Hills, California","Los Angeles, California"
Marcin Wrzosek,Shark Top Team Łódź,Poland,"Łódź, Poland"
Yanan Wu,N/A,"Chaoyang, Liaoning, China",China
Song Yadong,Enbo Gedou,"Harbin, Heilongjiang Province,China","Harbin, Heilongjiang Province, China"
Jamie Yager,Kings MMA,"Pasadena, California, United States","Huntington Beach, California"
Eddie Yagin,Alliance MMA,"Hilo, Hawaii, United States","Honolulu, Hawaii"
Rani Yahya,,,
Alexander Yakovlev,K-Dojo Warrior Tribe,Russia,"St. Petersburg, Russia"
Norifumi Yamamoto,,,
Xiaonan Yan,Extreme Sanda,"Liaoning, China","Shenyang, Liaoning, China"
Petr Yan,Tiger Muay Thai,Russia,"Omsk, Russia"
Adam Yandiev,,,
Dongi Yang,Team Macho,"Seoul, South Korea","Seoul, South Korea"
Jianping Yang,,,
Hu Yaozong,Tiger Muay Thai,China,"Beijing, China"
Cale Yarbrough,N/A,United States,United States
Ashley Yoder,Team Quest,United States,"Murrieta, California"
Yoshiyuki Yoshida,Right Thing Academy,"Kashiwa, Chiba, Japan","Crystal Lake, Illinois"
Jason Young,Team Titan,"Lewisham, England, United Kingdom","South East London, England"
Shane Young,City Kickboxing,"Napier, New Zealand","Auckland, New Zealand"
Shanna Young,Knoxville Martial Arts Academy,"Franklin County, Virginia, United States","Knoxville, Tennessee"
Besam Yousef,Gladius MMA,"Al-Hassake, Syria","Gothenburg, Sweden"
Rob Yundt,N/A,United States,"Wasilla, Alaska, USA"
Sodiq Yusuff,Team Lloyd Irvin,"Lagos, Nigeria","New Carrollton, Maryland"
Gilbert Yvel,Vos Gym,"Amsterdam, Netherlands","Amsterdam, Netherlands"
Luke Zachrich,,,
Anton Zafir,,,
Aiemann Zahabi,Tristar Gym,"Laval, Quebec, Canada","Montreal, Quebec, Canada"
Youssef Zalal,factoryX Muay Thai,"Casablanca, Morocco","Denver, Colorado"
Elizeu Zaleski dos Santos,,,
Roger Zapata,Renzo Gracie Latham,"Latham, New York","Albany, New York"
David Zawada,UFD GYM Dusseldorf,Germany,"Düsseldorf, Germany"
Joao Zeferino,Renzo Gracie Academy,"Florianopolis, Santa Catarina, Brazil","Middletown, New York"
Tiequan Zhang,Black Tiger Team,"Inner Mongolia, China","Beijing, China"
Lipeng Zhang,Fighting Empire,"Inner Mongolia, China","Inner Mongolia, China"
Weili Zhang,Black Tiger Fight Club,"Handan, China","Hebei, China"
Yao Zhikui,China Top Team,"Henan, China",China
Zhalgas Zhumagulov,Erkin Kush,Kazakhstan,"Aktobe, Kazakhstan"
Fares Ziam,Bulgarian Top Team,France,France
Cat Zingano,Zingano BJJ,"Broomfield, Colorado, United States","Broomfield, Colorado"
Allan Zuniga,Mandarina MMA,Costa Rica," San Miguel, Costa Rica"

