Name,Affiliation,Born,Fighting out of
Alan Belcher,"American Top Team D’Iberville, MS","Jonesboro, Arkansas, United States","Biloxi, Mississippi"
Vitor Belfort,Independent,"Rio de Janeiro, Rio de Janeiro, Brazil","Boca Raton, Florida"
Danilo Belluardo,Aurora Mixed Martial Arts,"Palermo, Italy","Milan, Italy"
Joey Beltran,Alliance MMA,"San Diego, California, United States","Carlsbad, California"
Marco Beltran,Top Brother Mexico,"Mexico City, Mexico","Michoacán, Mexico"
Joseph Benavidez,Team Alpha Male,"San Antonio, Texas, United States","Sacramento, California"
Gabriel Benitez,American Kickboxing Academy,Mexico,"Tijuana, Baja California, Mexico"
DeAnna Bennett,Killer B Combat Sports,"Utah, USA","Utah, USA"
Lance Benoist,St Charles MMA,"St. Louis, Missouri, United States","St. Louis, Missouri"
Ryan Benoit,Saekson Janjira Muay Thai,United States,"Dallas, Texas"
Keith Berish,Black & Blue MMA,United States,"Kingston, New York"
Dennis Bermudez,Long Island MMA,"Saugerties, New York, United States","Lindenhurst, New York"
Manny Bermudez,South Shore Sportsfighting,USA,USA
Talita Bernardo,IFTeam,"Barra de São João, Rio de Janeiro, Brazil","Barra de São João, Rio de Janeiro, Brazil"
Allen Berube,Gracie Tampa,USA,USA
Matt Bessette,Underdog Mixed Martial Arts,"Hartford, Connecticut, United States","Hartford, Connecticut"
Arjan Bhullar,Ryan's MMA - Checkmat Vancouver,Canada,"Richmond, British Columbia"
Magomed Bibulatov,Berkut FC,Russia,"Grozny, Russia"
David Bielkheden,Brazilian Top Team,Sweden,"Stockholm, Sweden"
Anthony Birchak,10th Planet Jiu Jitsu Tucson,"Tucson, Arizona, United States","Tucson, Arizona"
Michael Bisping,RVCA,"Nicosia, Cyprus","Anaheim, California"
Jan Blachowicz,WCA Fight Team,"Cieszyn, Poland","Warsaw, Poland"
Jason Black,Miletich Fighting Systems,USA,USA
Brad Blackburn,Victory Athletics,"Los Angeles, California, United States","Seattle, Washington"
Tom Blackledge,Wolfslair MMA Academy,United Kingdom,United Kingdom
Maximo Blanco,Jackson Wink MMA,"Coro, Falcon, Venezuela","Tokyo, Japan"
Curtis Blaydes,Elevation Fight Team,"Naperville, Illinois","Chicago, Illinois"
Byron Bloodworth,Iron Clutch Fitness,"Lynchburg, Virginia, United States","Atlanta, Georgia"
Mark Bocek,Tristar Gym,"Toronto, Ontario, Canada","Woodbridge, Ontario"
Kyle Bochniak,Broadway Jiu Jitsu,"Gloucester, Massachusetts, United States","Boston, Massachusetts"
James Bochnovic,,United States,"Kenosha, Wisconsin"
Tim Boetsch,Barbarian Combat Sports,"Lincolnville, Maine, United States","Sunbury, Pennsylvania"
Galore Bofando,,England,England
Roman Bogatov,Fighter Gym,Russia,"Orenburg, Russia"
Jesse Bongfeldt,United Fighter MMA,"Kenora, Ontario, Canada","Kenora, Ontario"
Stephan Bonnar,Xtreme Couture,"Munster, Indiana, United States","Las Vegas, Nevada"
Rogerio Bontorin,Gile Ribeiro Team,"Adrianopolis, Parana, Brazil","Colombo, Parana, Brazil"
Ray Borg,,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Tanner Boser,,"Bonnyville, Alberta, Canada","Bonnyville, Alberta"
Steve Bosse,Tristar Gym,"Saint-Jean-sur-Richelieu, Quebec, Canada","Montreal, Quebec"
Poliana Botelho,Nova União,"Muriae, Minas Gerais, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil"
Brian Bowles,Hardcore Gym,"Charleston, West Virginia, United States","Athens, Georgia"
Roger Bowling,Team Vision MMA,"Neville, Ohio, United States","Cincinnati, Ohio"
Kyle Bradley,Team Voodoo,United States,"Denham Springs, Louisiana"
Paul Bradley,Alliance MMA,"Tama, Iowa, United States","San Diego, California"
Sean Brady,Renzo Gracie Philly,United States,"Philadelphia, Pennsylvania"
Joe Brammer,Throwdown Elite Training Center,USA,USA
David Branch,Renzo Gracie Academy,"New York, USA","New York, USA"
Diego Brandao,Jackson Wink MMA,"Fortaleza, Ceara, Brazil","Albuquerque, New Mexico"
Martin Bravo,Entram Gym,Mexico,"Rosarito Beach, Baja California, Mexico"
Tom Breese,,England,"Birmingham, England"
Charlie Brenneman,AMA Fight Club,"Hollidaysburg, Pennsylvania, United States","Whippany, New Jersey"
Jason Brilz,Elite Performance MMA,"Bismarck, North Dakota, United States","Omaha, Nebraska"
Marcus Brimage,American Top Team,"Colorado Springs, Colorado, United States","Coconut Creek, Florida"
Henry Briones,Entram Gym,"Tijuana, Baja California, Mexico","San Diego, California"
Jonathan Brookins,Gracie Barra Orlando,"Portland, Oregon, United States","Orlando, Florida"
Will Brooks,American Top Team,"Chicago, Illinois, United States","Schaumburg, Illinois"
Jarred Brooks,Mash Fight Team,"Warsaw, Indiana, United States","Detroit, Michigan"
Rob Broughton,Wolfslair MMA Academy,"St Helens, Merseyside, England","Liverpool, England"
Matt Brown,Immortal Martial Arts Center,"Xenia, Ohio, United States","Cincinnati, Ohio"
Mike Brown,American Top Team,"Portland, Maine, United States","Coconut Creek, Florida"
Todd Brown,Bulldog Fight Team,"Mishawaka, Indiana, United States","Osceola, Indiana"
Randy Brown,Budokan Martial Arts Academy,Massachusetts,"Queens, New York"
Damien Brown,Integrated MMA,Australia,"Brisbane, Queensland"
TJ Brown,Westside Fight Team,United States,"Little Rock, Arkansas"
