Fighter_one,Fighter_two,Opening_Odds_f1,Closing_Odds_f1,Average_Odds_f1,Opening_Odds_f2,Closing_Odds_f2,Average_Odds_f2,Event,Date,duplicates
Andy Enz,Clint Hester,+175,+160,+185,-245,-240,-200,UFC 169: Barao vs. Faber,Feb 1st 2014,+-001258ACEHdeeilnnnrsttyz
Konstantin Erokhin,Gabriel Gonzaga,-110,-150,-120,-130,-110,+128,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 11th 2015,+-011228EGGKaaaabeghiiiklnnnnnooorrsttz
Konstantin Erokhin,Viktor Pesta,-260,-562,-375,+180,+300,+380,UFC on FOX 14: Gustafsson vs. Johnson,Jan 24th 2015,+-033578EKPVaaehiiikknnnnooorrsstttt
Julian Erosa,Devonte Smith,-120,+180,+210,-120,-260,-227,UFC Fight Night 139: Korean Zombie vs. Rodriguez,Nov 10th 2018,+-012227DEJSaaeehiilmnnoorsttuv
Julian Erosa,Paddy Pimblett,-120,+120,+139,-120,-175,-150,Cage Warriors: Unplugged,Nov 12th 2016,+-011359EJPPaaabddeiillmnorsttuy
Julian Erosa,Teruto Ishihara,-270,-190,-170,+190,+140,+158,UFC 196: McGregor vs. Diaz,Mar 5th 2016,+-011578EIJTaaaaehhiilnoorrrsstuu
Julian Erosa,Marcin Wrzosek,-140,-140,+108,+110,-130,+110,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 11th 2015,++001118EJMWaaaceiiklnnoorrrssuz
Nick Gay,Victor Reyna,+240,+173,+260,-300,-380,-220,Combate 48: Garland,Nov 1st 2019,+-002226GNRVaacceiiknortyy
Chel Erwin-Davis,Mike Breeden,NaN,NaN,NaN,NaN,NaN,NaN,LFA 67: James vs. Martin,May 24th 2019,-BCDEMNNNNaaadeeeeehiiiklnnrrsvw
Bobby Escalante,Raul Sandoval,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce Challengers 15: Wilcox vs. Damm,Apr 1st 2011,BENNNNRSaaaaaaabbcdelllnnoostuvy
Eric Esch,Mariusz Pudzianowski,NaN,NaN,NaN,NaN,NaN,NaN,KSW 14,Sep 18th 2010,EEMNNNNPaaaaccdhiiiiknorrsssuuwzz
Eric Esch,Lyndon Byers,NaN,NaN,NaN,NaN,NaN,NaN,Moosin: Gods Of Martial Arts,May 21st 2010,BEELNNNNaaccdehinnorrssyy
Eric Esch,Patrick Smith,+140,+120,+130,-170,-160,-150,YAMMA Pit Fighting,Apr 11th 2008,+-001135EEPSaccchhiiikmrrstt
Cole Escovedo,Takeya Mizugaki,+135,+160,+200,-165,-233,-200,UFC 135: Jones vs. Rampage,Sep 24th 2011,+-000022CEMTaaacdeeegiikklooosuvyz
Cole Escovedo,Tommy Vargas,NaN,NaN,NaN,NaN,NaN,NaN,Tachi Palace Fights 9,May 6th 2011,CENNNNTVaaaacdeeglmmoooorssvy
Cole Escovedo,Michihiro Omigawa,+300,+230,+285,-500,-365,-290,DREAM 16,Sep 25th 2010,+-022589CEMOaaccdeeghhiiiilmoooorsvw
Cole Escovedo,Michael McDonald,NaN,NaN,NaN,NaN,NaN,NaN,Tachi Palace Fights 5,Jul 9th 2010,CDEMMNNNNaaaacccddeeehilllnoooosv
Cole Escovedo,Yoshiro Maeda,+160,+160,+210,-200,-270,-200,DREAM 13,Mar 22nd 2010,+-000122CEMYaacddeeehilooooorssv
Efrain Escudero,Gleison Tibau,-135,+105,+138,-105,-189,-135,Golden Boy MMA: Liddell vs. Ortiz 3,Nov 24th 2018,+-113358EEGTaabcdeefiiilnnoorrssuu
Efrain Escudero,Islam Mamedov,NaN,NaN,NaN,NaN,NaN,NaN,PFL 5: High vs. Schulte,Aug 2nd 2018,EEIMNNNNaaaaacddeefilmmnoorrssuv
Efrain Escudero,Jason High,+140,+180,+500,-180,-700,-254,PFL 2: Firmino vs. Brooks,Jun 21st 2018,+-002455EEHJaacdefghiinnoorrssu
Efrain Escudero,Khamzat Aushev,+150,+110,+116,-190,-150,-144,ACB 83: Baku,Mar 24th 2018,+-111446AEEKaaacdeefhhimnorrsstuuvz
Efrain Escudero,Musa Khamanaev,-120,-120,-120,-120,-120,-120,ACB 74: Aguev vs Townsend,Nov 18th 2017,--001122EEKMaaaaacdeefhimnnorrssuuv
Efrain Escudero,Kevin Lee,+280,+260,+315,-400,-435,-340,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016,+-013345EEKLacdeeeefiinnorrsuv
Efrain Escudero,Leandro Silva,+100,+125,+133,-140,-160,-144,UFC Fight Night 78: Magny vs. Gastelum,Nov 21st 2015,+-113344EELSaaacddeefiilnnoorrrsuv
Efrain Escudero,Leonardo Santos,+110,+170,+225,-150,-290,-210,UFC Fight Night 51: Big Foot vs. Arlovski II,Sep 13th 2014,+-012225EELSaaacddeefinnnoooorrrsstu
Efrain Escudero,Juha-Pekka Vainikainen,-215,-215,-208,+165,+165,+172,Superior Challenge X,May 3rd 2014,+--012278EEJPVaaaaacdeeefhiiiikkknnnnorrsuu
Efrain Escudero,Luis Palomino,-155,-140,-134,+115,+100,+106,Championship Fighting Alliance 12,Oct 12th 2013,+-011346EELPaacdefiiilmnnooorrssuu
Efrain Escudero,Zack Surdyka,-405,-357,-330,+285,+260,+289,Bellator Fighting Championship 100: Lima vs. Saunders,Sep 20th 2013,+-023389EESZaaaccddefikknorrrsuuy
Efrain Escudero,Tyson Griffin,+215,+180,+200,-285,-250,-231,Resurrection Fighting Alliance 4,Nov 2nd 2012,+-001223EEGTacdefffiiinnnoorrrssuy
Efrain Escudero,Jacob Volkmann,+160,+170,+245,-200,-269,-210,UFC 141: Lesnar vs. Overeem,Dec 30th 2011,+-012245EEJVaaabccdefiklmnnnooorrsu
Efrain Escudero,Jeff Rexroad,NaN,NaN,NaN,NaN,NaN,NaN,Legacy Fighting Championships 9,Dec 16th 2011,EEJNNNNRaaaacddeeefffinoorrrsux
Efrain Escudero,Cesar Avila,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 55,Oct 22nd 2011,ACEENNNNaaaaacdeefiilnorrrssuv
Efrain Escudero,Charles Oliveira,+110,-200,-145,-150,+115,+145,UFC Fight Night 22: Marquardt vs. Palhares,Sep 15th 2010,+-114455CEEOaaacdeeefhiiillnorrrrssuv
Efrain Escudero,Dan Lauzon,-450,-588,-400,+300,+300,+369,UFC 114: Jackson vs. Evans,May 29th 2010,+-003469DEELaaacdefinnnoorrsuuz
Efrain Escudero,Cole Miller,-125,-161,-115,-105,-115,+125,UFC 103: Franklin vs Belfort,Sep 19th 2009,+-111255CEEMacdeeefiilllnoorrrsu
Efrain Escudero,Phillipe Nover,+285,+235,+309,-355,-500,-340,UFC: The Ultimate Fighter 8 Finale,Dec 13th 2008,+-003349EENPacdeeefhiiillnooprrrsuv
Evan Esguerra,Caleb Mitchell,NaN,NaN,NaN,NaN,NaN,NaN,War MMA 1,Jun 22nd 2013,CEEMNNNNaaaaabceeeghilllnrrstuv
Carla Esparza,Michelle Waterson,-125,-155,-130,+105,+100,+130,UFC 249: Ferguson vs. Gaethje,May 9th 2020,+-001133CEMWaaaaaceeehilllnoprrrsstz
Carla Esparza,Alexa Grasso,-105,+115,+140,-135,-180,-142,UFC on ESPN+ 17: Rodriguez vs. Stephens,Sep 21st 2019,+-011244ACEGaaaaaaelloprrrsssxz
Carla Esparza,Virna Jandiroba,-145,-136,+100,+125,-125,+116,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019,++001116CEJVaaaaaaabdiilnnoprrrrsz
Carla Esparza,Tatiana Suarez,+250,+300,+350,-350,-500,-400,UFC 228: Woodley vs. Till,Sep 8th 2018,+-000345CESTaaaaaaaaeilnprrrstuzz
Carla Esparza,Claudia Gadelha,+280,+190,+350,-400,-500,-250,UFC 225: Whittaker vs. Romero 2,Jun 9th 2018,+-002355CCEGaaaaaaaaddehilllprrsuz
Carla Esparza,Maryna Moroz,-230,-255,-185,+170,+145,+205,UFC Fight Night 112: Chiesa vs. Lee,Jun 25th 2017,+-012558CEMMaaaaaalnooprrrrsyzz
Carla Esparza,Randa Markos,-210,-310,-251,+160,+200,+240,UFC Fight Night 105: Lewis vs. Browne,Feb 19th 2017,+-012245CEMRaaaaaaadklnoprrrssz
Carla Esparza,Juliana Lima,-305,-220,-186,+225,+135,+177,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016,+-116778CEJLaaaaaaaiillmnprrsuz
Carla Esparza,Joanna Jedrzejczyk,-185,-185,-145,+145,+120,+150,UFC 185: Pettis vs. dos Anjos,Mar 14th 2015,+-011455CEJJaaaaaacdeejklnnoprrrsyzzz
Carla Esparza,Rose Namajunas,-130,-110,+130,-110,-160,-107,UFC: The Ultimate Fighter 20 Finale,Dec 12th 2014,+-001137CENRaaaaaaaejlmnoprrsssuz
Carla Esparza,Bec Hyatt,-1050,-1850,-1050,+550,+550,+1042,Invicta FC 4,Jan 5th 2013,+-00011245BCEHaaaaacelprrsttyz
Carla Esparza,Lynn Alvarez,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 3: Penne vs. Sugiyama,Oct 6th 2012,ACELNNNNaaaaaaaellnnprrrsvyzz
Carla Esparza,Sarah Schneider,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 2,Jul 28th 2012,CENNNNSSaaaaaaaacdeehhilnprrrrsz
Carla Esparza,Felice Herrig,-280,-220,-208,+200,+165,+172,XFC 15: Tribute,Dec 2nd 2011,+-012278CEFHaaaaceeegiillprrrrsz
Carla Esparza,Megumi Fujii,+300,+425,+550,-500,-850,-525,Bellator Fighting Championship 24,Aug 12th 2010,+-025555CEFMaaaaegiiijlmprrsuuz
Juan Espino,Justin Frazier,+130,-200,-149,-170,+120,+158,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018,+-114589EFJJaaeiiinnnoprrsstuuz
Jordan Espinosa,Alex Perez,+220,+190,+230,-280,-325,-240,UFC on ESPN+ 24: Blaydes vs. Dos Santos,Jan 25th 2020,+-002234AEJPaadeeeilnnooprrssxz
Jordan Espinosa,Matt Schnell,-120,-172,-130,-120,+100,+145,UFC on ESPN 5: Covington vs. Lawler,Aug 3rd 2019,+-011345EJMSaaacdehillnnnooprsstt
Jordan Espinosa,Eric Shelton,+110,+100,+150,-150,-180,-127,UFC on ESPN+ 6: Thompson vs. Pettis,Mar 23rd 2019,+-011257EEJSaacdehiilnnnoooprrsst
Jordan Espinosa,Riley Dutro,+195,+110,+142,-275,-185,-145,Dana White's Contender Series 12,Jul 10th 2018,+-112445DEJRaadeiilnnoooprrsstuy
Jordan Espinosa,Nick Urso,+185,+200,+220,-265,-295,-239,Dana White's Contender Series 7,Aug 22nd 2017,+-022239EJNUaacdiiknnoooprrsss
Jordan Espinosa,Dinis Paiva,NaN,NaN,NaN,NaN,NaN,NaN,CES MMA 41: Bessette vs. Croom,Jan 27th 2017,DEJNNNNPaaaaaadiiiinnnooprsssv
Jordan Espinosa,Rafael de Freitas,+365,+460,+508,-555,-780,-732,Legacy FC 36: East vs. Lewis,Oct 17th 2014,+-023578EFJRaaaaaddeeefiilnnooprrssst
Jodie Esquibel,Angela Hill,+160,+320,+478,-210,-625,-455,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019,+-445578AEHJabdeeegiiillllnoqsu
Jodie Esquibel,Jessica Penne,+145,+100,+115,-185,-145,-120,UFC on ESPN 1: Ngannou vs. Velasquez,Feb 17th 2019,+-011125EJJPabcdeeeeeiiilnnoqsssu
Jodie Esquibel,Karolina Kowalkiewicz,+250,+350,+472,-350,-695,-500,UFC Fight Night 118: Cerrone vs. Till,Oct 21st 2017,+-002457EJKKaaabcdeeeiiiiiklllnoooqrsuwwz
Jodie Esquibel,Kali Robbins,-195,-220,-181,+155,+155,+170,Invicta FC 21: Anderson vs. Tweet,Jan 14th 2017,+-011178EJKRabbbdeeiiiillnooqssu
Jodie Esquibel,Alexa Grasso,+285,+280,+350,-405,-530,-379,Invicta FC 18: Grasso vs. Esquibel,Jul 29th 2016,+-033579AEGJaabdeeeiillooqrsssux
Jodie Esquibel,Nicdali Rivera-Calanoc,-400,-315,-261,+280,+216,+256,Invicta FC 9: Honchak vs. Hashi,Nov 1st 2014,+--122566CEJNRaaaabccddeeeiiiiilllnooqrsuv
Jodie Esquibel,Jinh Yu Frey,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 8,Sep 6th 2014,EFJJNNNNYaabdeeehiiilnoqrsuuy
Jodie Esquibel,Alexandra Chambers,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 5: Penne vs. Waterson,Apr 5th 2013,ACEJNNNNaaaaabbddeeeehiillmnoqrrssux
Jodie Esquibel,Liz McCarthy,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 4,Jan 5th 2013,CEJLMNNNNaaabcdeehiiiloqrstuyz
Terry Etim,Patrick Cenoble,-400,-600,-420,+280,+325,+400,Bellator Fighting Championship 109: Shlemenko vs. Marshall,Nov 22nd 2013,+-000244CEPTabceeeiiklmnorrrtty
Terry Etim,Renee Forte,-350,-400,-340,+250,+250,+320,UFC on Fuel TV 7: Barao vs. McDonald,Feb 16th 2013,+-002334EFRTeeeeeimnorrrtty
Terry Etim,Edward Faaloloto,-575,-769,-600,+375,+400,+540,UFC 138: Leben vs. Munoz,Nov 5th 2011,+-000456EEFTaaaddeillmooorrrttwy
Terry Etim,Shannon Gugerty,-500,-500,-365,+325,+245,+325,UFC 105: Couture vs Vera,Nov 14th 2009,+-233556EGSTaeeghimnnnorrrttuyy
Terry Etim,Sam Stout,+190,+220,+260,-230,-330,-251,UFC 89: Bisping vs Leben,Oct 18th 2008,+-012256ESSTaeimmorrtttuy
Terry Etim,Gleison Tibau,+145,+135,+150,-175,-200,-165,UFC 75: Champion vs Champion,Sep 8th 2007,+-011556EGTTabeeiiilmnorrstuy
Fred Freeman,Aaron Chalmers,+400,+350,+396,-625,-515,-455,Bellator 223: Mousasi vs. Lovato Jr.,Jun 22nd 2019,+-345569ACFFaaadeeeehlmmnnorrrrs
Fred Freeman,Kevin Ferguson Jr.,+325,+333,+475,-475,-625,-500,Bellator 187: McKee vs. Moore,Nov 10th 2017,+-004557FFFJKadeeeeegimnnnorrrrsuv
Scott Ettling,Garrett Mueller,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 145: Vengeance,Nov 6th 2015,EGMNNNNSaaaceeegilllnorrrttttttu
Sijara Eubanks,Sarah Moras,-275,-400,-315,+235,+240,+300,UFC on ESPN+ 29: Smith vs. Teixeira,May 13th 2020,+-001335EMSSaaaaaabhijknorrrssu
Sijara Eubanks,Aspen Ladd,+225,+205,+250,-305,-333,-254,UFC on ESPN+ 10: Dos Anjos vs. Lee,May 18th 2019,+-022455AELSaaaabddeijknnprssu
Sijara Eubanks,Roxanne Modafferi,-380,-650,-500,+260,+350,+472,UFC 230: Cormier vs. Lewis,Nov 3rd 2018,+-002457EMRSaaaaabdeeffiijknnnoorrsux
Sijara Eubanks,Lauren Murphy,-190,-230,-189,+150,+150,+190,UFC Fight Night 131: Rivera vs. Moraes,Jun 1st 2018,+-011899ELMSaaaabehijknnprrrsuuuy
Sijara Eubanks,Aspen Ladd,+250,+160,+175,-350,-225,-190,Invicta FC 21: Anderson vs. Tweet,Jan 14th 2017,+-011579AELSaaaabddeijknnprssu
Sijara Eubanks,Amberlynn Orr,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 18: Grasso vs. Esquibel,Jul 29th 2016,AENNNNOSaaaaabbeijklmnnnrrrrsuy
Sijara Eubanks,Gina Begley,NaN,NaN,NaN,NaN,NaN,NaN,Invicta FC 12: Kankaanpaa vs. Souza,Apr 24th 2015,BEGNNNNSaaaaaabeegiijklnnrsuy
Billy Evangelista,James Terry,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce: Barnett vs. Cormier,May 19th 2012,BEJNNNNTaaaaaeeegiilllmnrrsstvyy
Billy Evangelista,Kj Noons,+160,+200,+225,-200,-294,-237,Strikeforce: Melendez vs. Masvidal,Dec 17th 2011,+-222357BEKNaaegiijlllnnoosstvy
Billy Evangelista,Jorge Masvidal,+115,+110,+135,-145,-160,-140,Strikeforce: Feijao vs. Henderson,Mar 5th 2011,+-011345BEJMaaaadeeggiiillllnorsstvvy
Billy Evangelista,Waachim Spiritwolf,-271,-400,-300,+211,+255,+285,Strikeforce Challengers 11,Oct 22nd 2010,+-002358BESWaaaacefghiiiiillllmnoprsttvwy
Billy Evangelista,Jorge Gurgel,-165,-240,-205,+135,+155,+190,Strikeforce Challengers IV: Evangelista vs Gurgel,Nov 6th 2009,+-001259BEGJaaeeegggiillllnorrstuvy
Billy Evangelista,Harris Sarmiento,NaN,NaN,NaN,NaN,NaN,NaN,PFC 12: High Stakes,Jan 22nd 2009,BEHNNNNSaaaaaaeegiiiilllmnnorrrssttvy
Billy Evangelista,Nam Phan,+120,+100,+120,-150,-150,-117,Strikeforce: Melendez vs Thomson,Jun 27th 2008,+-011127BENPaaaaeghiilllmnnstvy
Billy Evangelista,Marlon Sims,NaN,NaN,NaN,NaN,NaN,NaN,Strikeforce: Shamrock vs Le,Mar 29th 2008,BEMNNNNSaaaaaegiiillllmnnorsstvy
Billy Evangelista,Nam Phan,+180,+180,+216,-220,-260,-220,Strikeforce: Four Men Enter One Man Survives,Nov 16th 2007,+-012226BENPaaaaeghiilllmnnstvy
Rashad Evans,Anthony Smith,+190,+160,+212,-270,-285,-200,UFC 225: Whittaker vs. Romero 2,Jun 9th 2018,+-001222AERSaaadhhhimnnnossttvy
Rashad Evans,Daniel Kelly,-210,-265,-227,+160,+175,+220,UFC 209: Woodley vs. Thompson 2,Mar 4th 2017,+-022227DEKRaaaadeehilllnnssvy
Rashad Evans,Glover Teixeira,+150,+150,+191,-190,-225,-187,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016,+-111789EGRTaaaadeeehiilnorrssvvx
Rashad Evans,Chael Sonnen,-230,-260,-220,+170,+155,+220,UFC 167: St-Pierre vs. Hendricks,Nov 16th 2013,+-002222CERSaaaadeehhlnnnnossv
Rashad Evans,Dan Henderson,-140,-200,-133,+100,+100,+175,UFC 161: Evans vs. Henderson,Jun 15th 2013,+-113357DEHRaaaaddeehnnnnorsssv
Rashad Evans,Antonio Rogerio Nogueira,-360,-790,-471,+280,+350,+495,UFC 156: Aldo vs. Edgar,Feb 2nd 2013,+-144579AENRRaaaadeegghiiinnnooooorrsstuv
Rashad Evans,Jon Jones,+425,+260,+470,-625,-562,-435,UFC 145: Jones vs. Evans,Apr 21st 2012,+-034457EJJRaaadehnnnoosssv
Rashad Evans,Tito Ortiz,-450,-500,-333,+300,+220,+335,UFC 133: Evans vs. Ortiz 2,Aug 6th 2011,+-333335EORTaaadhiinorssttvz
Rashad Evans,Quinton Jackson,-115,-120,+108,-115,-132,-109,UFC 114: Jackson vs. Evans,May 29th 2010,+-001189EJQRaaaacdhiknnnnoossstuv
Rashad Evans,Thiago Silva,-155,-207,-180,+125,+150,+168,UFC 108: Evans vs Silva,Jan 2nd 2010,+-011688ERSTaaaaadghhiilnossvv
Rashad Evans,Lyoto Machida,+125,+135,+201,-155,-250,-180,UFC 98: Evans vs Machida,May 23rd 2009,+-001128ELMRaaaaacddhhinoosstvy
Rashad Evans,Forrest Griffin,-115,-135,-105,-115,-125,+105,UFC 92: The Ultimate 2008,Dec 27th 2008,+-001155EFGRaaadeffhiinnorrrssstv
Rashad Evans,Chuck Liddell,+175,+180,+215,-215,-285,-220,UFC 88: Breakthrough,Sep 6th 2008,+-012225CELRaaacdddehhikllnssuv
Rashad Evans,Tito Ortiz,+105,-120,+125,-135,-155,-110,UFC 73: Stacked,Jul 7th 2007,+-011125EORTaaadhiinorssttvz
Doug Evans,Alexandre Bezerra,+275,+300,+350,-425,-500,-385,Bellator Fighting Championship 57,Nov 12th 2011,+-033558ABDEaaadeeeeglnnorrrsuvxz
Doug Evans,Marcelo Guidici,NaN,NaN,NaN,NaN,NaN,NaN,Agression MMA,Oct 24th 2009,DEGMNNNNaaaaccdegiiilnoorsuuv
Doug Evans,Roger Huerta,+500,+450,+550,-700,-900,-750,UFC: The Ultimate Fighter 5 Finale,Jun 23rd 2007,+-005557DEHRaaeeggnoorrstuuv
Ashlee Evans-Smith,Andrea Lee,+165,+136,+164,-215,-190,-175,UFC on ESPN 1: Ngannou vs. Velasquez,Feb 17th 2019,+--114567AAELSaadeeeeehhilmnnrsstv
Ashlee Evans-Smith,Bec Rawlings,-230,-240,-190,+170,+160,+195,UFC 223: Nurmagomedov vs. Iaquinta,Apr 7th 2018,+--011599ABERSaaceeeghhiillmnnssstvw
Ashlee Evans-Smith,Sarah Moras,-245,-340,-278,+175,+210,+270,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017,+--022778AEMSSaaaaeehhhilmnorrssstv
Ashlee Evans-Smith,Ketlen Vieira,-170,-180,-155,+130,+125,+155,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017,+--115555AEKSVaaeeeeehhiiillmnnrssttv
Ashlee Evans-Smith,Veronica Macedo,-265,-310,-217,+185,+185,+230,UFC Fight Night 93: Arlovski vs. Barnett,Sep 3rd 2016,+--012237AEMSVaaaccdeeeehhiilmnnoorsstv
Ashlee Evans-Smith,Marion Reneau,+160,+135,+175,-210,-210,-165,UFC Fight Night 83: Cowboy vs. Cowboy,Feb 21st 2016,+--115567AEMRSaaaeeeehhiilmnnnorsstuv
Ashlee Evans-Smith,Raquel Pennington,-180,-244,-185,+140,+150,+188,UFC 181: Hendricks vs. Lawler 2,Dec 6th 2014,+--115888AEPRSaaeeeeghhiillmnnnnnoqssttuv
Ashlee Evans-Smith,Marciea Allen,NaN,NaN,NaN,NaN,NaN,NaN,WSOF 10: Branch vs. Taylor,Jun 21st 2014,-AAEMNNNNSaaaaaceeeehhiilllmnnrsstv
Ashlee Evans-Smith,Fallon Fox,+500,+425,+462,-900,-675,-638,Championship Fighting Alliance 12,Oct 12th 2013,+--234668AEFFSaaeehhilllmnnoosstvx
Dan Evensen,Raoul Romero,-105,+120,+165,-125,-205,-140,Bellator Fighting Championship 5,May 1st 2009,+-011456DERRaaeeelmnnnooorsuv
Dan Evensen,Cheick Kongo,+400,+300,+425,-550,-625,-450,UFC 87: Seek And Destroy,Aug 9th 2008,+-024455CDEKaceeeghiknnnnoosv
Tonya Evinger,Lina Lansberg,-175,-410,-303,+135,+230,+336,UFC on ESPN+ 11: Gustafsson vs. Smith,Jun 1st 2019,+-033336ELLTaaabeeggiinnnnorrsvy
Tonya Evinger,Aspen Ladd,+185,+135,+164,-265,-190,-175,UFC 229: Nurmagomedov vs. McGregor,Oct 6th 2018,+-114567AELTaaddeeginnnoprsvy
Tonya Evinger,Cristiane Justino,+600,+650,+875,-1200,-1429,-1075,UFC 214: Cormier vs. Jones 2,Jul 29th 2017,+-0155778CEJTaaeegiiiinnnnoorrssttuvy
Tonya Evinger,Yana Kunitskaya,-315,-205,-184,+235,+143,+165,Invicta FC 22: Evinger vs. Kunitskaya II,Mar 25th 2017,+-114568EKTYaaaaaegiiknnnnorstuvyy
Tonya Evinger,Yana Kunitskaya,-705,-950,-650,+435,+400,+650,Invicta FC 20: Evinger vs. Kunitskaya,Nov 18th 2016,+-005566EKTYaaaaaegiiknnnnorstuvyy
Tonya Evinger,Colleen Schneider,-400,-625,-400,+275,+275,+400,Invicta FC 17: Evinger vs. Schneider,May 7th 2016,+-000044CESTacdeeeeeghiillnnnnoorrvy
Tonya Evinger,Pannie Kianzad,-150,-245,-179,+110,+145,+175,Invicta FC 14: Evinger vs. Kianzad,Sep 12th 2015,+-115779EKPTaaaadeegiiinnnnnorvyz
Tonya Evinger,Ediane Gomes,+175,+245,+258,-245,-335,-300,Invicta FC 8,Sep 6th 2014,+-002358EEGTaadeeegiimnnnoorsvy
Tonya Evinger,Sara McMann,+205,+275,+323,-285,-430,-345,Titan Fighting Championship 19,Jul 29th 2011,+-233345EMMSTaaaaceginnnnorrvy
Tonya Evinger,Julie Kedzie,+125,+150,+160,-155,-200,-170,ShoXC: Elite Challenger Series,Jan 25th 2008,+-001167EJKTadeeeegiiilnnoruvyz
Movsar Evloev,Seung Woo Choi,-305,-500,-333,+225,+269,+381,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 20th 2019,+-133338CEMSWaeeghilnooooorsuvvv
Andre Ewell,Jonathan Martinez,-190,-140,-117,+165,-105,+110,UFC 247: Jones vs. Reyes,Feb 8th 2020,+-011117AEJMaaadeeehillnnnnorrttwz
Andre Ewell,Marlon Vera,+155,+105,+135,-195,-170,-130,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019,+-011335AEMVaadeeelllnnorrrw
Andre Ewell,Nathaniel Wood,-110,-110,+111,-110,-135,-117,UFC 232: Jones vs. Gustafsson 2,Dec 29th 2018,+-111117AENWaaddeeehilllnnoortw
Andre Ewell,Dinis Paiva,-180,-188,-161,+140,+135,+147,CES MMA 50: Paiva vs. Ewell,Jun 15th 2018,+-111467ADEPaadeeiiillnnrsvw
Andre Ewell,Trent Meaux,NaN,NaN,NaN,NaN,NaN,NaN,LFA 36: Simon vs. Zani,Mar 23rd 2018,AEMNNNNTaaadeeeellnnrrtuwx
Neal Ewing,Logan Nail,NaN,NaN,NaN,NaN,NaN,NaN,Bellator 135: Warren vs. Galvao,Mar 27th 2015,ELNNNNNNaaaaaeggiillnnow
Jessica Eye,Valentina Shevchenko,+825,+470,+830,-1250,-1696,-1040,UFC 238: Cejudo vs. Moraes,Jun 8th 2019,+-0001348EJSVaaacceeeeehhiiklnnnosstvy
Jessica Eye,Kalindra Faria,+105,-140,-119,-145,-111,+118,UFC Fight Night 124: Stephens vs. Choi,Jan 14th 2018,+-111189EFJKaaaaacdeeiiilnrrssy
Jessica Eye,Aspen Ladd,+115,+105,+128,-155,-150,-135,UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje,Jul 7th 2017,+-112358AEJLaacddeeeinpsssy
Jessica Eye,Sara McMann,+135,-105,+120,-175,-155,-122,UFC Fight Night 88: Almeida vs. Garbrandt,May 29th 2016,+-011222EJMMSaaaacceeinnrssy
Jessica Eye,Julianna Pena,+140,+185,+226,-180,-270,-230,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015,+-022236EJJPaaaaceeeiilnnnssuy
Jessica Eye,Miesha Tate,+160,+160,+185,-210,-245,-183,UFC on FOX 16: Dillashaw vs. Barao 2,Jul 25th 2015,+-113588EJMTaaaceeeehiisssty
Jessica Eye,Leslie Smith,-270,-325,-275,+190,+210,+285,UFC 180: Werdum vs. Hunt,Nov 15th 2014,+-225578EJLSaceeeehiiilmsssty
Jessica Eye,Sarah Kaufman,+160,+155,+175,-200,-250,-185,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013,+-115578EJKSaaaaaceefhimnrssuy
Jessica Eye,Zoila Frausto Gurgel,-105,+100,+135,-125,-155,-130,Bellator Fighting Championship 83,Dec 7th 2012,+-011335EFGJZaaaceeegiilloorrssstuuy
Jessica Eye,Anita Rodriguez,-700,-800,-731,+450,+500,+591,Bellator Fighting Championship 66,Apr 20th 2012,+-113579AEJRaacdeeegiiinorsstuyz
Jessica Eye,Casey Noland,NaN,NaN,NaN,NaN,NaN,NaN,Bellator Fighting Championship 51,Sep 24th 2011,CEJNNNNNaaaaacdeeeilnosssyy
Edward Faaloloto,Michael Johnson,+265,+300,+449,-325,-769,-500,UFC On Versus 4,Jun 26th 2011,+-004459EFJMaaaacddehhilllnnooooorstw
Edward Faaloloto,Anthony Njokuani,+300,+300,+346,-500,-500,-400,WEC 52: Faber vs. Mizugaki,Nov 11th 2010,+-003446AEFNaaaaddhijkllnnnooooorttuwy
