Events,Date,Venue,City,Attendance,Total Gate,Buyrate,fight_odds_url,scraped,Promotion
UFC Fight Night: Smith vs. Rakić,2020-08-29 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,,1,Ultimate Fighting Championship
UFC on ESPN: Munhoz vs. Edgar,2020-08-22 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-15-munhoz-vs-edgar-1931,1,Ultimate Fighting Championship
UFC 252,2020-08-15 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,"500,000",https://www.bestfightodds.com/search?query=UFC%20252,1,Ultimate Fighting Championship
UFC Fight Night: Lewis vs. Oleinik,2020-08-08 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885,1,Ultimate Fighting Championship
UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918,1,Ultimate Fighting Championship
UFC on ESPN: Whittaker vs. Till,2020-07-26 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-14-whittaker-vs-till-1903,1,Ultimate Fighting Championship
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913,1,Ultimate Fighting Championship
UFC on ESPN: Kattar vs. Ige,2020-07-16 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917,1,Ultimate Fighting Championship
UFC 251,2020-07-12 00:00:00,du Forum,"Abu Dhabi, United Arab Emirates",None (behind closed doors),,"1,300,000",https://www.bestfightodds.com/search?query=UFC%20251,1,Ultimate Fighting Championship
UFC on ESPN: Poirier vs. Hooker,2020-06-27 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895,1,Ultimate Fighting Championship
UFC on ESPN: Blaydes vs. Volkov,2020-06-20 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897,1,Ultimate Fighting Championship
UFC on ESPN: Eye vs. Calvillo,2020-06-13 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898,1,Ultimate Fighting Championship
UFC 250,2020-06-06 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/search?query=UFC%20250,1,Ultimate Fighting Championship
UFC on ESPN: Woodley vs. Burns,2020-05-30 00:00:00,UFC Apex,"Enterprise, Nevada, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910,1,Ultimate Fighting Championship
UFC on ESPN: Overeem vs. Harris,2020-05-16 00:00:00,VyStar Veterans Memorial Arena,"Jacksonville, Florida, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-8-overeem-vs-harris-1908,1,Ultimate Fighting Championship
UFC Fight Night: Smith vs. Teixeira,2020-05-13 00:00:00,VyStar Veterans Memorial Arena,"Jacksonville, Florida, United States",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876,1,Ultimate Fighting Championship
UFC 249,2020-05-09 00:00:00,VyStar Veterans Memorial Arena,"Jacksonville, Florida, United States",None (behind closed doors),,"700,000",https://www.bestfightodds.com/search?query=UFC%20249,1,Ultimate Fighting Championship
UFC Fight Night: Hermansson vs. Weidman,2020-05-02 00:00:00,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, United States",,,,,1,Ultimate Fighting Championship
"Canceled UFC event on April 25, 2020",2020-04-25 00:00:00,Pinnacle Bank Arena,"Lincoln, Nebraska, United States",,,,,1,Ultimate Fighting Championship
UFC Fight Night: Overeem vs. Harris,2020-04-11 00:00:00,Moda Center,"Portland, Oregon, United States",,,,,1,Ultimate Fighting Championship
UFC on ESPN: Ngannou vs. Rozenstruik,2020-03-28 00:00:00,Nationwide Arena,"Columbus, Ohio, United States",,,,,1,Ultimate Fighting Championship
UFC Fight Night: Woodley vs. Edwards,2020-03-21 00:00:00,The O2 Arena,"London, England",,,,,1,Ultimate Fighting Championship
UFC Fight Night: Lee vs. Oliveira,2020-03-14 00:00:00,Ginásio Nilson Nelson,"Brasília, Brazil",None (behind closed doors),,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,1,Ultimate Fighting Championship
UFC 248,2020-03-07 00:00:00,T-Mobile Arena,"Paradise, Nevada, United States","15,077","$2,742,906.20",,https://www.bestfightodds.com/search?query=UFC%20248,1,Ultimate Fighting Championship
UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29 00:00:00,Chartway Arena,"Norfolk, Virginia, United States","7,098","$402,958",,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,1,Ultimate Fighting Championship
UFC Fight Night: Felder vs. Hooker,2020-02-23 00:00:00,Spark Arena,"Auckland, New Zealand","10,025","$1,239,625",,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,1,Ultimate Fighting Championship
UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15 00:00:00,Santa Ana Star Center,"Rio Rancho, New Mexico, United States","6,449","$596,820",,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848,1,Ultimate Fighting Championship
UFC 247,2020-02-08 00:00:00,Toyota Center,"Houston, Texas, United States","17,401","$3,549,418",,https://www.bestfightodds.com/search?query=UFC%20247,1,Ultimate Fighting Championship
UFC Fight Night: Blaydes vs. dos Santos,2020-01-25 00:00:00,PNC Arena,"Raleigh, North Carolina, United States","14,533","$1,303,320",,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841,1,Ultimate Fighting Championship
UFC 246,2020-01-18 00:00:00,T-Mobile Arena,"Paradise, Nevada, United States","19,040","$11,087,629.33","1,000,000[3]",https://www.bestfightodds.com/search?query=UFC%20246,1,Ultimate Fighting Championship
UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21 00:00:00,Sajik Arena,"Busan, South Korea","10,651",,,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803,1,Ultimate Fighting Championship
UFC 245,2019-12-14 00:00:00,T-Mobile Arena,"Paradise, Nevada, United States","16,811","$4,041,119.14",,https://www.bestfightodds.com/search?query=UFC%20245,1,Ultimate Fighting Championship
UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07 00:00:00,Capital One Arena,"Washington, D.C., United States","10,816",,,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785,1,Ultimate Fighting Championship
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16 00:00:00,Ginásio do Ibirapuera,"São Paulo, Brazil","10,344",,,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755,1,Ultimate Fighting Championship
UFC Fight Night: Magomedsharipov vs. Kattar,2019-11-09 00:00:00,CSKA Arena,"Moscow, Russia","11,305",,,https://www.bestfightodds.com/events/ufc-on-espn-21-zabit-vs-kattar-1795,1,Ultimate Fighting Championship
UFC 244,2019-11-02 00:00:00,Madison Square Garden,"New York City, New York, United States","20,143","$6,575,996.19",,https://www.bestfightodds.com/search?query=UFC%20244,1,Ultimate Fighting Championship
UFC Fight Night: Maia vs. Askren,2019-10-26 00:00:00,Singapore Indoor Stadium,Singapore,"7,155",,,https://www.bestfightodds.com/events/ufc-on-espn-20-maia-vs-askren-1793,1,Ultimate Fighting Championship
UFC on ESPN: Reyes vs. Weidman,2019-10-18 00:00:00,TD Garden,"Boston, Massachusetts","12,066","$1,124,765",,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764,1,Ultimate Fighting Championship
UFC Fight Night: Joanna vs. Waterson,2019-10-12 00:00:00,Amalie Arena,"Tampa, Florida","10,597","$897,805",,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751,1,Ultimate Fighting Championship
UFC 243,2019-10-06 00:00:00,Marvel Stadium,"Melbourne, Australia","57,127","$5,470,000",,https://www.bestfightodds.com/search?query=UFC%20243,1,Ultimate Fighting Championship
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28 00:00:00,Royal Arena,"Copenhagen, Denmark","12,767","$1,600,000",,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747,1,Ultimate Fighting Championship
UFC Fight Night: Rodríguez vs. Stephens,2019-09-21 00:00:00,Mexico City Arena,"Mexico City, Mexico","10,112",,,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753,1,Ultimate Fighting Championship
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14 00:00:00,Rogers Arena,"Vancouver, British Columbia, Canada","15,114","$1,334,931.56",,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735,1,Ultimate Fighting Championship
UFC 242,2019-09-07 00:00:00,"The Arena, Yas Island","Abu Dhabi, United Arab Emirates",,,,https://www.bestfightodds.com/search?query=UFC%20242,1,Ultimate Fighting Championship
UFC Fight Night: Andrade vs. Zhang,2019-08-31 00:00:00,Shenzhen Universade Sports Centre Arena,"Shenzhen, China","10,302",,,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733,1,Ultimate Fighting Championship
UFC 241,2019-08-17 00:00:00,Honda Center,"Anaheim, California","17,304","$3,237,032",,https://www.bestfightodds.com/search?query=UFC%20241,1,Ultimate Fighting Championship
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10 00:00:00,Antel Arena,"Montevideo, Uruguay","9,225",,,https://www.bestfightodds.com/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724,1,Ultimate Fighting Championship
UFC on ESPN: Covington vs. Lawler,2019-08-03 00:00:00,Prudential Center,"Newark, New Jersey","10,427","$687,778",,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734,1,Ultimate Fighting Championship
UFC 240,2019-07-27 00:00:00,Rogers Place,"Edmonton, Alberta, Canada","12,144",$1.4 million,,https://www.bestfightodds.com/search?query=UFC%20240,1,Ultimate Fighting Championship
UFC on ESPN: dos Anjos vs. Edwards,2019-07-20 00:00:00,AT&T Center,"San Antonio, Texas","9,255","$841,820.61",,https://www.bestfightodds.com/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717,1,Ultimate Fighting Championship
UFC Fight Night: de Randamie vs. Ladd,2019-07-13 00:00:00,Golden 1 Center,"Sacramento, California","10,306","$938,734.17",,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714,1,Ultimate Fighting Championship
UFC 239,2019-07-06 00:00:00,T-Mobile Arena,"Paradise, Nevada","18,358","$6,063,707.11",,https://www.bestfightodds.com/search?query=UFC%20239,1,Ultimate Fighting Championship
UFC on ESPN: Ngannou vs. dos Santos,2019-06-29 00:00:00,Target Center,"Minneapolis, Minnesota","10,123","$952,204.77",,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687,1,Ultimate Fighting Championship
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22 00:00:00,Bon Secours Wellness Arena,"Greenville, South Carolina","7,682","$567,930.80",,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680,1,Ultimate Fighting Championship
UFC 238,2019-06-08 00:00:00,United Center,"Chicago, Illinois","16,083","$2,034,387.49",,https://www.bestfightodds.com/search?query=UFC%20238,1,Ultimate Fighting Championship
UFC Fight Night: Gustafsson vs. Smith,2019-06-01 00:00:00,Ericsson Globe,"Stockholm, Sweden","14,319","$2,000,000",,https://www.bestfightodds.com/events/ufc-on-espn-11-gustafsson-vs-smith-1676,1,Ultimate Fighting Championship
UFC Fight Night: dos Anjos vs. Lee,2019-05-18 00:00:00,Blue Cross Arena,"Rochester, New York","8,132","$643,000",,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674,1,Ultimate Fighting Championship
UFC 237,2019-05-11 00:00:00,Jeunesse Arena,"Rio de Janeiro, Brazil","15,193",,"110,000",https://www.bestfightodds.com/search?query=UFC%20237,1,Ultimate Fighting Championship
UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04 00:00:00,Canadian Tire Centre,"Ottawa, Ontario, Canada","10,960","$807,000",,https://www.bestfightodds.com/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672,1,Ultimate Fighting Championship
UFC Fight Night: Jacaré vs. Hermansson,2019-04-27 00:00:00,BB&T Center,"Sunrise, Florida","12,754","$1,209,654.09",,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657,1,Ultimate Fighting Championship
UFC Fight Night: Overeem vs. Oleinik,2019-04-20 00:00:00,Yubileyny Sports Palace,"Saint Petersburg, Russia","7,236",,,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673,1,Ultimate Fighting Championship
UFC 236,2019-04-13 00:00:00,State Farm Arena,"Atlanta, Georgia","14,297","$1,900,000",,https://www.bestfightodds.com/search?query=UFC%20236,1,Ultimate Fighting Championship
